number,title,medium,contact_info,legal_info,private,creation_date,size,series,description,percent_for_art,displayed
,"Silver Monotype","monotype","first floor, lounge, room 102","From plaque that accompanies the piece: ""Dr. Gordon Gilkey, professor of art and dean of the College of Liberal Arts at Oregon State University from 1947-1978, distinguished himself as an artist and administrator. The two monotypes by Dr. Gilkey, 'Trace of Lineaments' and 'Silver Monotype,' are presented to the Class of 1947 on their 50th class reunion, June 1997.""","Public",,,,,FALSE,FALSE
,"Willamette Valley, mid summer, 1977",,"second floor, in dean's office (room 203)",,"Please contact Suzanne Grey (Suzanne.Grey@oregonstate.edu or 541-737-8809) to set up an appointment to view this piece.",,,,,FALSE,FALSE
,"Corvallis Sophisticate",,"second floor, in associate dean's office (room 209A)",,"Please contact Suzanne Grey (Suzanne.Grey@oregonstate.edu or 541-737-8809) to set up an appointment to view this piece.",,,,,FALSE,FALSE
,"Arriving in Portland",,"second floor, in associate dean's office (209A)",,"Please contact Suzanne Grey (Suzanne.Grey@oregonstate.edu or 541-737-8809) to set up an appointment to view this piece.",,,,,FALSE,FALSE
,"Columbus Day Blow","etching","first floor, Joyce Goudy Powell Leadership Center, lobby",,"Public",1962,,,,FALSE,FALSE
5,"The Resurrection of the Liebfrauenkircke","aquatint (print)","first floor, central, across from reshelving",,"Public",,,"part of The Valley Library's Northwest Art Collection","While on active duty in Germany, Gilkey took photographs and sketches of the Liebfrauenkircke, a church that was being restored after its stones were loosened from numerous Allied attacks on Nuremberg. This piece is an aquatint that shows the restoration process of the church, and he created it with reference to those drawings and photos he gathered.",TRUE,FALSE
55,"Unclassified Reflections (title page)","lithograph","second floor, rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Unclassified Reflections series",,TRUE,FALSE
92,"Variations on the Square","monotype","fifth floor, west side",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
55,"Unclassified Reflections ""A""","lithograph","second floor, rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of Unclassified Reflections series",,TRUE,FALSE
55,"Unclassified Reflections ""B""","lithograph","second floor, rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of Unclassified Reflections series",,TRUE,FALSE
55,"Unclassified Reflections ""C""","lithograph","second floor, rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of Unclassified Reflections series",,TRUE,FALSE
55,"Unclassified Reflections ""D""","lithograph","second floor, rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of Unclassified Reflections series",,TRUE,FALSE
55,"Unclassified Reflections ""E""","lithograph","second floor, rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of Unclassified Reflections series",,TRUE,FALSE
55,"Unclassified Reflections ""F""","lithograph","second floor, rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of Unclassified Reflections series",,TRUE,FALSE
,"Oregon State College","wood","first floor, main building entrance","From plaque that accompanies the piece: ""The historical wood mosaic entry panels, designed by and executed under the direction of Aimee Gorham of Portland, were installed in Bexell Hall in 1937 as a Works Project Administration undertaking. Unlike a painting, an inlaid wood mosaic makes no pretense at detail of outline or finish. Hence, the figures, as a rule, are symboli rather than realistic, emblematic rather than individualistic. This panel is indexed by the pictures of Benton Hall and the Memorial Union in the upper-left corner. Leading the historical characters is a student portraying an engineer. James Withycombe, the 'father of soil conservation in the Pacific Northwest' and later War Governor of Oregon, follows. Dean Covell, founder of the School of Engineering, and Dean Cordley, creative scientist and organizer of the School of Agriculture, precede Dr. Horner, missionary and historian, Dean Bexell, organizer of the School of Commerce, and Dr. Kerr, President of the College and first Chancellor of the State System of Higher Education. Two youths are portrayed in the center of the procession wearing sports attire of the 1930s. Next is a young man representing a soldier. Dr. Irvine, staunch champion of the service mission of the College and a leader of the governing boards for the College, succeeds. Finally, two women of distinction who gave great impetus to the cultural life of the institution are Ida Kidder, librarian, and Margaret Snell, who pioneered work in home economics.""","Public",,,,,FALSE,FALSE
,"Tree of Life","wood","first floor, main building entrance","From plaque that accompanies the piece: ""The historical wood mosaic entry panels, designed by and executed under the direction of Aimee Gorham of Portland, were installed in Bexell Hall in 1937 as a Works Project Administration undertaking. Unlike a painting, an inlaid wood mosaic makes no pretense at detail of outline or finish. Hence, the figures, as a rule, are symboli rather than realistic, emblematic rather than individualistic. The central panel, with its Tree of Life, is the focus toward which all of the figures in the other panels face and from which all of the symbolism is drawn. A brillians flows from this enter in the form of vast rays of light, and in turn, the beauty and mystery arising in the side panels and symbolized by radiant shafts, are attracted toward this center as the source of strength and wisdom. The words of Solomon are on either side of the Tree of Life.""","Public",,,,,FALSE,FALSE
,"Oregon Pioneers","wood","first floor, main building entrance","From plaque that accompanies the piece: ""The historical wood mosaic entry panels, designed by and executed under the direction of Aimee Gorham of Portland, were installed in Bexell Hall in 1937 as a Works Project Administration undertaking. Unlike a painting, an inlaid wood mosaic makes no pretense at detail of outline or finish. Hence, the figures, as a rule, are symboli rather than realistic, emblematic rather than individualistic. The tiller of the soil leads the pioneers toward the Tree of Life. Following him is Clara Waldo as she began her career as a regent of Oregon State College and champion of opportunities for women students. In succession is Abigail Scott Duniway, renowned Northwest suffragist, whose enlightened leadership is symbolized by the lantern she carries and by her protective hold on the hand of the young girl she is leading. In back of her stands the rugged bulk of Dr. John McLoughlin, who helped in the American settlement of Oregon country, and beside him, as the exponent of law and education, symbolized by the scroll, is Dr. Weatherford, regent of Oregon State College for over forty years. Immigrants are on either side of the ox. A pioneer mother, carrying her baby carefully wrapped in a shawl, and a boy playing his banjo are set off against the background of the great wheel of the ox cart as it moves toward the Tree of Life. A hunter with a Native American guide follow with another group of pioneers.""","Public",,,,,FALSE,FALSE
,"Daughter's Quilt","giclee print","first floor, Joyce Goudy Powell Leadership Center, lobby","pamphlet","Public",,,,,FALSE,FALSE
59,"Valley Ariel","monotype","third floor, west side",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Pool","oil on cradle board","third floor, in offices","From plaque that accompanies the piece: ""b. 1948 La Grande, Oregon. Don Gray's work is rich with elements of the natural world. Landscapes and ephemeral qualities of light echo through gestural, organic forms, generating identities surrounding the cycles of birth, growth, decay and renewal. Ambiguity is prolific in his work, with his own statement 'I don't require an answer' framing his ideologies.""","Public",,"29"" x 27""",,,TRUE,FALSE
122,"Palimpsest Bones","acrylic painting","second floor, behind reference desk",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"View from Oceanside",,"forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
81,"Spell of the Magic Play","acrylic on birch","fourth floor, central, near oversize and current journals, across from reception",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Surprise Animals (horse)","bas relief","exterior wall",,"Public",,,,,TRUE,FALSE
,"Surprise Animals (birds)","bas relief","exterior wall",,"Public",,,,,TRUE,FALSE
,"Surprise Animals (birds 2)","bas relief","exterior wall",,"Public",,,,,TRUE,FALSE
,"Surprise Animals (cow)","bas relief","exterior wall",,"Public",,,,,TRUE,FALSE
,"Surprise Animals (bird)","bas relief","exterior wall",,"Public",,,,,TRUE,FALSE
,"Tree of Life","brick-relief","exterior wall, by entrance near ""The Guardian,"" behind ""large animal entrance"" gate","Quote from Oregon Arts Commission on the piece: ""This brick-relief mural depicts a dog expectantly looking up at a cat clinging to a branch of a coniferous tree. Two birds fly past the top of the tree, and a group of flowers stands in the foreground.""","Public",,,,"On this piece, Grimm and Grimm have said, ""The brick mural for the façade of the addition to the VetMed building attempts to engage the viewer in the symbolism of the Tree of Life, a Northwestern fir tree image, a dog and cat (referencing the animals whose care is focused on inside the building), birds, a snake and some small indigenous wildflower images. By grouping these images in a bit of a storybook fashion, the viewer may recall fairytales of childhood, but on another level may consider the interrelatedness of all these creatures on our planet; and indeed the interrelatedness of all living things- resting, in this image as in the world, on the fragility of small species in this case, Queen Ann's Lace and trillium.""",TRUE,FALSE
,"Animal Totem","brick sculpture","exterior walls","Quote from Oregon Arts Commission on the piece: ""Exterior brick carving of domesticated animals in a totem pole like form.""","Public",,,,,TRUE,FALSE
,"Untitled","color serigraph","first floor, Joyce Goudy Powell Leadership Center, lobby",,"Public",,,,,FALSE,FALSE
101,"Hypercenter","acrylic on paper","fifth floor, central, on left wall upon entering first SCARC area",,"Public",,,"part of The Valley Library's Northwest Art Collection","On his paintings in the Valley Library, Grumm has said they “all form from images and objects that attract me. Once that spark has been made, the painting flows and culminates into its own world.”",TRUE,FALSE
102,"County Line","acrylic on paper","fifth floor, central, on left wall upon entering first SCARC area",,"Public",,,"part of The Valley Library's Northwest Art Collection","On his paintings in the Valley Library, Grumm has said they “all form from images and objects that attract me. Once that spark has been made, the painting flows and culminates into its own world.”",TRUE,FALSE
103,"Port of M. Munger","acrylic on paper","fifth floor, central, on left wall upon entering first SCARC area",,"Public",,,"part of The Valley Library's Northwest Art Collection","On his paintings in the Valley Library, Grumm has said they “all form from images and objects that attract me. Once that spark has been made, the painting flows and culminates into its own world.”",TRUE,FALSE
104,"Browning's Neighbor","acrylic on paper","fifth floor, central, on left wall upon entering first SCARC area",,"Public",,,"part of The Valley Library's Northwest Art Collection","On his paintings in the Valley Library, Grumm has said they “all form from images and objects that attract me. Once that spark has been made, the painting flows and culminates into its own world.”",TRUE,FALSE
105,"Kampher's Lot","acrylic on paper","fifth floor, central, on left wall upon entering first SCARC area",,"Public",,,"part of The Valley Library's Northwest Art Collection","On his paintings in the Valley Library, Grumm has said they “all form from images and objects that attract me. Once that spark has been made, the painting flows and culminates into its own world.”",TRUE,FALSE
116,"Fog Bank","oil on paper","fifth floor, east side, near reshelving",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
115,"Untitled","acrylic on canvas","fifth floor, east side, between SCARC and reshelving",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
96,"Copa De Oro","screen print","fifth floor, central",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Northwest Wildflowers series","On the pieces in OSU’s Valley Library, Hall has said, “These pieces are contemporary renditions in the classic tradition of botanical illustration, which communicates, in an artful manner, as much information as possible about a given plant. They celebrate overlooked, undervalued, or threatened Northwest native wildflower species in the hope of increasing awareness and appreciation. Each of the plants portrayed has a special link with the human history of the region...Here is perhaps the most celebrated West Coast wildflower. Called Copa de Oro by the earliest Hispanic inhabitants, this golden poppy once emblazoned such vast fields that its brilliant color was visible from sailing ships miles offshore -- a plausible basis for the early name La Tierra del Fuego, land of fire. Discouraged by grazing, agriculture, and development, it now blooms in lesser abundance, May-September, from Southern California north to the Columbia River, and elsewhere escaped from garden plantings. This marvelous perennial arises from a deep taproot and generally reaches two feet in height. The flowers are two to three inches across and vary from pale to deep yellow and orange. They are remarkably responsive to sunlight, closing at nightfall or in overcast weather. Sepals are united in a conical structure that is thrust off by the opening petals, much like doffing a little hat. The seed capsule is linear and tipped by the withering styles. The foliage is grayish-green and finely divided.E. Californica owes its introduction to the botanical world to three explorer naturalists and a coincident Russian. Archibald Menzies, Scottish botanist and surgeon with Captain George Vancouver, was first to collect specimens for transport to foreign shores, in Monterey in December if 1792. But his classification was incorrect, his collection suffered badly on shipboard, and the plants delivered to Kew Gardens soon died. Next was Adelbert van Chamisso, French naturalist with the Russian Romanoff expedition, spending October of 1816 at San Francisco. Here he collected, described, classified, and named Eschscholtzia californica after the ship's noble young surgeon, Johann Friedrich Escholtz. Finally, it came to David Douglas, Scottish botanist and practical gardener, to convey this vibrant poppy to the world. Collecting along the Multnomah (Willamette) River in 1825, he first encountered E. colifornica and sent back to the Horticultural Society of London the seeds that thrived in English gardens and beyond.""",TRUE,FALSE
97,"Trilliums","screen print","fifth floor, central",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Northwest Wildflowers series","On the pieces in OSU’s Valley Library, Hall has said, “These pieces are contemporary renditions in the classic tradition of botanical illustration, which communicates, in an artful manner, as much information as possible about a given plant. They celebrate overlooked, undervalued, or threatened Northwest native wildflower species in the hope of increasing awareness and appreciation. Each of the plants portrayed has a special link with the human history of the region.”Information provided by Hall on Trilliums: Trillium ovatum. Western Trillium or Wake-robin.While other vegetation is still winter-bare, this elegant blossom unfurls in its whorl of large sessile leaves to punctuate moist shay woods from British Columbia south to Central California, from lowlands to well up in the mountains. Indeed, one of its common names, Wake-robin, implies that it precedes the earliest of birds. The Latin generic name Trillium, meaning triple, is appropriate to describe the parts of three in petals, sepals, and leaves - all supported by a sturdy bare stem as much as 12 inches tall. This species is distinguished from another common woodlawn trillium in having a thin stem or pedicel that bears each solitary flower above its three broad net-veined leaves. The fragrant white flowers of T. ovatum turn purplish with age.The botanical history of this plant is tied to the history of the pacific Northwest via Lewis and Clark Expedition. On their return trip east in 1806, Captain Meriwether Lewis collected it ""on the rapids of Columbia river"", one of the 150 novel specimens he conveyed to botanist Fredrick Pursh. It was from the Lewis collection that Trillium ovatum was first described and named by Pursh in his Flora Americae Septenrionalis of 1814, the first account of North American plants to include the Pacific Northwest.The familiar admonition not to pick trilliums is well founded. Removing the flower stem robs the rhizome of the food supply necessary to produce next year's plant, and some years may be required for recovery. Trilliums do not transplant well, but may grow from seed with patience. As many as seven years may pass before a white blossom is produced to crown the three stem-leaves. Ants are a natural aid in dispersal, attracted by sweet tissue on the seeds.",TRUE,FALSE
98,"Camas","screen print","fifth floor, central",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Northwest Wildflowers series","On the pieces in OSU’s Valley Library, Hall has said, “These pieces are contemporary renditions in the classic tradition of botanical illustration, which communicates, in an artful manner, as much information as possible about a given plant. They celebrate overlooked, undervalued, or threatened Northwest native wildflower species in the hope of increasing awareness and appreciation. Each of the plants portrayed has a special link with the human history of the region.”Information provided by Hall on Camas: Camassia Leichtlinii. Large Camas.The Indian name quamash or camass persists in this 1-2' tall perennial arising from deep-seated bulb. Flowers vary anywhere from white to deep blue or violet. Camassia Leichlinii, the larger of our two common species, is distinguished by the withering petals twisting together above the seed capsule rather than falling separately. It ranges west of the Cascades from southern British Columbia to southern Oregon and into Sierran California.The starchy bulb of the camas was a prized staple for the native tribes in the Northwest. Care was required to avoid poisonous bulbs of another lily, the so-called death camas. Gathering camas root was the incentive for annual festivities, migrations to harvest ground where women dug and prepared bulbs (while the men engaged in sport and games). Handles of their digging sticks, fashioned from bone or antler, can be seen in museum collections. The sticks themselves, made of fire-hardened wood crooked and fattened at the end, have not survived so well.To prepare the root it was first cooked, either roasted elaborately in covered pits lined with hot stones, or boiled. It was then crushed in mortars and the gummy mass pressed into slabs for keeping. Hungry fur trapper Alexander Henry, in the Willamette Valley in 1814, tells in is diary of trading blue beads with the Kalapuyans for slabs of the nutritious food. As if to remind us of more meager times, each April and May the stately camas colors moist meadows and prairies, roadside ditches, or the vacant lot behind a supermarket, with handsome blue-violet blossoms.",TRUE,FALSE
99,"Kincaids Lupine","screen print","fifth floor, central",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Northwest Wildflowers series","On the pieces in OSU’s Valley Library, Hall has said, “These pieces are contemporary renditions in the classic tradition of botanical illustration, which communicates, in an artful manner, as much information as possible about a given plant. They celebrate overlooked, undervalued, or threatened Northwest native wildflower species in the hope of increasing awareness and appreciation. Each of the plants portrayed has a special link with the human history of the region.”Info provided by Hall on Kincaids Lupine: Lupinus sulphureus kincaidii.Our native lupines are a confusing lot, with nearly 600 distinct kinds described in the US. Within a given population bewildering variations occur, and rather free interbreeding compounds the confusion. One iridescent blue butterfly is not confused however. Known to prefer Kincaid's lupine as a larval food plant, the Fender's Blue butterfly, Icaricia icariodes fenderi, was last seen in 1931 and presumed extinct. But careful scrutiny of populations of Kincaid's lupine led to recent rediscovery of the rare insect. Now efforts are underway to protect both the butterfly and its host lupine.This variation of the sulphur lupines is confined to remnant bits of native prairie grasslands in western Oregon and Washington, primarily in the Willamette Valley. Lupines are broadly recognized by radiating leaflets and blossoms that resemble those of other members of the pea family. Kincaid's lupine may be distinguished by three characteristics: relatively low-growing basal leaves dominated by upbranched stems bearing uncrowded whorls of smallish flowers, blossoms a varied assortment of colors from yellow to blue to purple, and banner petals with a distinctly ruffled border.The name of Trevor Kincaid, as this lupine, has been ascribed to much of the flora and fauna of the Pacific Northwest. My first encounter was in the subject of my Master's thesis, a tiny aquatic fly that bears his name as original taxonomist (Maruina lanceolata Kincaid). Born in 1872, Kincaid grew up an avid student of nature, making prodigious collections of plant and animal specimens even before entering the fledgling University of Washington in 1894. Within seven years he was head of the Department of Zoology there and continued as inspired teacher, entomologist, and international science adviser until his death at 97, having shaped the early development of zoology at the university.",TRUE,FALSE
100,"Flags","screen print","fifth floor, central",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Northwest Wildflowers series","On the pieces in OSU’s Valley Library, Hall has said, “These pieces are contemporary renditions in the classic tradition of botanical illustration, which communicates, in an artful manner, as much information as possible about a given plant. They celebrate overlooked, undervalued, or threatened Northwest native wildflower species in the hope of increasing awareness and appreciation. Each of the plants portrayed has a special link with the human history of the region.” Hall provided the following information on this piece: ""Iris tenax. Tough-threaded Iris, Purple Iris, or Flag.This showy little wild iris, occurring in many shades of purple, is common in neglected fields and roadsides in the Willamette Valley in early spring. It was introduced into the formal world of botany by that intrepid Scot, David Douglas, the exploring naturalist whose name id commemorated in the Douglas-fir.Douglas made the harrowing voyage to northwest America in 1824 under protection of the Hudson's Bay Company, to collect specimens for the Horticultural Society of London. He found this iris ""a common plant in North California, and along the coast of New Georgia, in dry soils or open parts of woods, flowering in April and May."" From Material sent by Douglas, John Lindley, Professor of Botany in the University of London, wrote the original description in 1829: 'A plant forming close tufts of rigid, erect, linear-ensiform, evergreen, tough leaves, which in wild specimens are rather shorter than the flowers. Stem erect, a foot or rather more high, angular, leafy, clothed at the base with remains of the leaves, as in Allium Victorialis. Ovarium on a long stalk, not enclosed within the floral leaves, somewhat 3-cornered. Flowers about the size of Iris virginica, sessile on the ovarium, dark purple, veiny; the outer petals obovate, acuminate, spreading, beardless; the inner obovate, rounded, erect, shorter than the others. Stigmas 2-lobed, short.' Iris, the Greek word for rainbow, was applied to this genus for its variety of color. The Latin species name tenax (tenacious) derives from these observations made by Douglas on uses of the plant:""The native tribes about Aguilar (Umpqua) river...find this plant very serviceable for many purposes: from the veins of the leaves fine cord is made, which is converted into fishing nets; and from its buoyancy, great strength, and durability, it suits this purpose admirable. It is also made into snares for deer and bears; and a good idea may be formed of its strength, when a snare, not thicker than a 16-thread line, is sufficient to strangle Cervus Alces, the Great Stag of California, one of the most powerful animals of its tribe. The cordage is also manufactured into bags and other articles.""",TRUE,FALSE
,"Autumn Web","watercolor","first floor, Joyce Goudy Powell Leadership Center, Talisman Room",,"Public",,,,,FALSE,FALSE
,"Lee Wind","oil","first floor, Dean's hallway",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Two Figures on a Beach","oil","second floor, room 256 (communications)",,"missing",,,,,FALSE,TRUE
,"Hana #13","etching, aquatint, drypoint","first floor, Student Services","Edition of 30, #5/30. From plaque that accompanies the piece: ""b. 1969 Saitama, Japan. Yoko Hara's abstract etchings are rich in color. Gestural marks bespeak physical action, referencing the Taschist prints of the 1950s and '60s. Animal forms pull the composition onto a recognizable ground while weightless marks appear suspended in an open expanse, drifting beyond the limits of the paper.""","Public",,"19 1/4"" x 23 1/4""",,,TRUE,FALSE
,"Hana #14","etching, aquatint, drypoint","first floor, entrance by Pharmacy building","Edition of 30, #2/30. From plaque that accompanies the piece: ""b. 1969 Saitama, Japan. Yoko Hara's abstract etchings are rich in color. Gestural marks bespeak physical action, referencing the Taschist prints of the 1950s and '60s. Animal forms pull the composition onto a recognizable ground while weightless marks appear suspended in an open expanse, drifting beyond the limits of the paper.""","Public",,"19 1/4"" x 23 1/4""",,,TRUE,FALSE
,"Shassou #2 (rabbit) replacing Higata #2","etching, aquatint, drypoint","first floor, entrance by Pharmacy building","Edition of 30, #6/30. From plaque that accompanies the piece: ""b. 1969 Saitama, Japan. Yoko Hara's abstract etchings are rich in color. Gestural marks bespeak physical action, referencing the Taschist prints of the 1950s and '60s. Animal forms pull the composition onto a recognizable ground while weightless marks appear suspended in an open expanse, drifting beyond the limits of the paper.""","Public",,"19 1/4"" x 23 1/4""",,,TRUE,FALSE
,"Nurse Log","bronze sculpture","first floor, Giustina Lounge","From plaque that accompanies the piece: ""1999. By OSU alumnus Tom Hardy '42. In appreciation for our Oregon State University education. Robert R Adams '48, Mary Heumann Adams '49.""","Public",1999,,,,FALSE,FALSE
,"Untitled (Peavy)","oil","second floor, room A215 (forestry club)",,"missing",,,,,FALSE,TRUE
,"Roma","intaglio","second floor, Dean's Office suite (room 207)","Recipient of College of Liberal Arts Dean's Purchase Award 2010","Please ask at the front desk to view this piece.",2010,,"College of Liberal Arts Dean's Purchase Award",,FALSE,FALSE
,"Creation","acrylic and mixed media","second floor knuckle",,"Public",2000,,,,TRUE,FALSE
,"The Raven Brings the Salmon","acrylic and mixed media","third floor, knuckle",,"Public",1999,,,,TRUE,FALSE
13,"Watching the Moon Set","painting","second floor, near west staircase, copy center",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
12,"Salmon Prince","painting","second floor, near west staircase, copy center",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Re:source II","oil on canvas","second floor, 204 (offices)","From plaque that accompanies the piece: ""b. 1955 Washington, D.C. Having painted landscapes for years, Stephen Hayes works from memorized passages of landscape. Large, intuitive paintings often span multiple panels that are reconfigured as the painting progresses. Hayes challenges ideas of landscape painting with new processes and marks representing different landforms. His work shows a fresh continuity as the panels are mixed, painted and rematched.""","Public",,"39 1/2"" x 60""",,,TRUE,FALSE
,"Untitled #142","monotype",,"From plaque that accompanies the piece: ""b. 1955 Washington, D.C. Having painted landscapes for years, Stephen Hayes works from memorized passages of landscape. Large, intuitive paintings often span multiple panels that are reconfigured as the painting progresses. Hayes challenges ideas of landscape painting with new processes and marks representing different landforms. His work shows a fresh continuity as the panels are mixed, painted and rematched.""","missing",,"16"" x 16""",,,TRUE,TRUE
,"Ocean Drawing 1","mixed media on paper","third floor, east staircase","From plaque that accompanies the piece: ""b. 1954 Providence, Rhode Island. In his paintings and works on paper, Willy Heeks uses color, texture, gesture and layers to explore the optical senses, free association and individual emotional response. Drawing inspiration from nature and the world around his studio, Heeks builds his paintings slowly over time resulting in lyrical works.""","Public",,"30"" x 33"" UF",,,TRUE,FALSE
,"Akiba Girls","etching, chine colle","first floor, side entrance","Edition of 15. From plaque that accompanies the piece: ""b. 1954 Osaka, Japan. Yuji Hiratsuka combines Eastern and Western sensibilities, inspired by Japan's westernized facade and traditional Edo period Ukiyo-e woodcuts. Highly stylized figures employ movement suggesting an actor/actress who narrates a story in a play. Hiratsuka's narratives are representational in subject but focus on the metaphorical aspects such as satire, whimsy, irony and paradox.""","Public",,"43"" x 55""",,,TRUE,FALSE
,"Deliberation","intaglio, chine colle","first floor, lobby","From plaque that accompanies the piece: ""b. 1954 Osaka, Japan. Yuji Hiratsuka combines Eastern and Western sensibilities, inspired by Japan's westernized facade and traditional Edo period Ukiyo-e woodcuts. Highly stylized figures employ movement suggesting an actor/actress who narrates a story in a play. Hiratsuka's narratives are representational in subject but focus on the metaphorical aspects such as satire, whimsy, irony and paradox.""","Public",,"24"" x 18""",,,TRUE,FALSE
,"Medieval Landscape",,"sixth floor, east side, outside president's office",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Radial Plants",,"sixth floor, east side, outside president's office",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Suspicious Aroma",,"sixth floor, east side, outside president's office",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Hybrid Garden",,"sixth floor, east side, outside president's office",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Chariot",,"sixth floor, east side, outside president's office",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Corvallis Ruminant",,"second floor, circulation desk","From plaque that accompanies the piece: ""During the spring of 2002, kows of this kind were featured all over the streets of Portland. The 108 kows that comprimised the 'Kows for Kids on Parade' endeavor were an effort to raise funds for Trillium Family Services and New Avenues for Youth, two charities established to help at-risk youth. In support of the project, Joyce Dickerson ('80 Liberal Arts, '82 MBA) commissioned OSU professor and printmaker Yuji Hiratsuka to create the ""Corvallis Ruminant"" in memory of Gordon Gilkey, former dean of the College of Liberal Arts. Joyce purchased it at the 'Kows for Kids Parade Auction' at the end of the exhibit and gave it as a gift to OSU.""","Public",,,,,FALSE,FALSE
107,"Judgement","printmaking, mixed media","fifth floor, behind reception desk in SCARC",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Echo Column","stainless steel","outside, near Burt Hall courtyard",,,,,,,TRUE,FALSE
,"Untitled","black/white block print","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",1987,,"Provost's Purchase Award",,FALSE,FALSE
,"Watercarrier","bronze sculpture","first floor, activity room","Edition of 8. From plaque that accompanies the piece: ""Allan Houser, originally from Santa Fe and part of the Warm Springs Chiracahua Apache, is one of the best-known American artists of the 20th century and is considered by some as the 'father' of American Indian sculpture. His sculpture styles range from stylized figures ('Dineh') to biomorphic abstractions ('Anasazi') to sharply angled forms ('Cerrillos'). Donated by John D. Gray '40""","Public",1986,,,,TRUE,FALSE
,"Mountain Echoes","cast bronze sculpture","first floor, activity room","From plaque that accompanies the piece: ""Allan Houser, originally from Santa Fe and part of the Warm Springs Chiracahua Apache, is one of the best-known American artists of the 20th century and is considered by some as the 'father' of American Indian sculpture. His sculpture styles range from stylized figures ('Dineh') to biomorphic abstractions ('Anasazi') to sharply angled forms ('Cerrillos'). Donated by John D. Gray '40.""","Public",1986,,,,TRUE,FALSE
,"Newport Bridge","painting","first floor, lounge, room 102","From plaque that accompanies the piece: ""'Newport Bridge,' painted by James C. Howland OSU '38. Founding partner, CH2M Hill Engineering Inc.""","Public",,,,,FALSE,FALSE
,"Ironman","sculpture","first floor, library in Giustina Lounge","From plaque that accompanies the piece: ""On May 14, 2004, this sculpture was donated to OSU Alumni Association by William T Tomsheck, the last living member of the legendary eleven ironmen of the OSU 1933 football team. In memory of his teammates. Sculptor: Raymond D. Hunter.""","Public",,,,,FALSE,FALSE
,"Trysting Tree","construction","Trysting Tree Lounge",,"Public",2008,,,,FALSE,FALSE
,"Log Pond","metal relief","first floor, Dean's conference room",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"The Seekers","welded steel","outside, Snell Hall courtyard",,,,,,,FALSE,FALSE
,"Immigration: A Vision of Hope",,"first floor, main lobby",,"Public",,,,,TRUE,FALSE
,"Light in Forest","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece",,,,,FALSE,TRUE
,"Spring Thaw","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Weather Matrix","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Locked Plywood","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
